# mesh name: boxMesh_1
# primitive scorer name: doseScorer
# iX, iY, iZ, total(value) [MeV], total(val^2), entry
0,0,0,73789.13161078744,75529.86010733209,100000
0,0,1,75115.48564274781,92096.16146159975,99993
0,0,2,75428.87819002467,89084.05773707696,99940
0,0,3,75751.47702057348,86039.44844624531,99878
0,0,4,76846.04087618699,104100.9478249458,99826
0,0,5,77062.93572873216,93505.26430858581,99754
0,0,6,77550.61553047318,100052.7566351659,99665
0,0,7,77992.61303451878,95102.88470106873,99577
0,0,8,78618.34309806064,101805.108209243,99490
0,0,9,79147.2537079374,111796.0036580872,99390
0,0,10,79461.46792504383,104539.3980443031,99278
0,0,11,80284.05079431208,113662.184281901,99159
0,0,12,80523.3342726285,110574.6113060731,99036
0,0,13,80839.62013911607,105995.4708696846,98918
0,0,14,81179.96472442985,100040.7493683951,98800
0,0,15,81393.56270016241,95638.40941960838,98668
0,0,16,82199.80575660249,110836.9165035945,98533
0,0,17,82177.73087134249,97048.37249294769,98380
0,0,18,82947.69112419145,107302.3646606906,98262
0,0,19,83421.32199386743,106555.0193678756,98126
0,0,20,84176.38318057411,117919.817653823,97967
0,0,21,84684.02129313558,118042.7852927655,97826
0,0,22,84661.37661296982,119132.618068038,97692
0,0,23,84594.48127840551,109730.9128285541,97526
0,0,24,85409.99511340354,109678.9381427026,97385
0,0,25,86190.36380461199,118557.4334159217,97181
0,0,26,86865.98577239785,113758.2302608176,97014
0,0,27,87496.14615682168,113308.6530275342,96840
0,0,28,88372.08360665527,118891.3023619715,96663
0,0,29,89314.80886340284,124787.6205230408,96477
0,0,30,90027.78110793787,121854.9335009815,96296
0,0,31,90811.52106519783,127242.2811618409,96113
0,0,32,91760.05462531708,129277.5917911646,95917
0,0,33,92403.67271659005,133264.2567789021,95721
0,0,34,93013.51919068195,132450.4318027589,95494
0,0,35,93377.50085525592,131180.0385472942,95272
0,0,36,94050.38274325248,134704.5100164688,95089
0,0,37,94207.73969817943,128582.588690726,94862
0,0,38,94780.9826511921,131799.3812322098,94626
0,0,39,95517.63327968767,137625.8593039693,94422
0,0,40,96337.45265312953,136572.6564902983,94197
0,0,41,97231.85136527797,144659.9841904031,93974
0,0,42,98091.54539964098,144578.2757423528,93748
0,0,43,98715.45631471087,138557.7223237729,93501
0,0,44,99843.82830762831,141852.9752705785,93242
0,0,45,101049.1714959469,149240.1053581357,93001
0,0,46,102378.6341051289,153805.4961437453,92764
0,0,47,103727.5597518624,156233.1961231592,92505
0,0,48,104959.3143953057,158631.916664751,92237
0,0,49,106523.9188933085,159779.3785616059,91963
0,0,50,108099.7073473295,164390.7257953282,91696
0,0,51,110099.5505305402,174820.3867128281,91458
0,0,52,111328.6308782146,175632.5595533223,91135
0,0,53,112739.8706168933,174961.7989484527,90854
0,0,54,114500.7893466865,183131.8030106811,90577
0,0,55,116213.5538408445,188800.5296114355,90262
0,0,56,117881.4397237929,193160.9723603381,89982
0,0,57,120075.7975910132,202967.5264613143,89690
0,0,58,122474.2538833916,214720.208358185,89377
0,0,59,125041.3343050281,223740.5812483202,89046
0,0,60,128262.0769914129,241232.3442222673,88718
0,0,61,130834.2974988574,235524.2198840943,88359
0,0,62,134232.2450817557,249655.9938563877,87997
0,0,63,137685.9601795351,257929.0104716376,87618
0,0,64,141774.1481150377,279363.5112271928,87211
0,0,65,145439.7895018232,283286.594100996,86815
0,0,66,150228.9645195129,299825.9923593969,86426
0,0,67,155892.3997033956,321103.7366063215,86052
0,0,68,162538.5994064276,345055.9626443405,85623
0,0,69,170586.5710715687,379787.7267468869,85154
0,0,70,180137.0754379499,423069.2599081574,84684
0,0,71,192312.6023556714,488571.3252947145,84162
0,0,72,207263.1181339975,566306.7954716037,83572
0,0,73,226980.3494732313,678510.891927082,82867
0,0,74,255497.285031681,864857.9149638364,81947
0,0,75,302847.9214064021,1249798.689726636,80527
0,0,76,372192.384902754,1980139.281201133,77347
0,0,77,361606.8689376848,2238910.632630862,64262
0,0,78,174192.9016948839,1067884.70407839,32846
0,0,79,29505.20060963747,161563.9134017362,6716
0,0,80,1263.49876399036,5868.706112747891,443
0,0,81,47.7416091602849,139.9346348897355,100
0,0,82,46.95268274814484,186.7629299910397,91
0,0,83,47.54030163062163,172.7956688298683,96
0,0,84,53.25047444408572,199.9373596376925,83
0,0,85,51.643538053266,296.3816932394043,73
0,0,86,42.17906946261886,227.3670295740898,74
0,0,87,46.81338162681182,289.1108148886817,67
0,0,88,18.80364487665118,18.56366614885691,68
0,0,89,22.90728598163888,59.63642992275796,63
0,0,90,29.7938804839625,139.2654364264462,58
0,0,91,25.79352949833305,42.17247284308663,64
0,0,92,47.94251661804787,348.1527385201254,73
0,0,93,28.64530170498346,107.7651015642254,57
0,0,94,25.94699341158455,78.86639093897412,59
0,0,95,34.21744137195097,124.1010954828817,60
0,0,96,52.72668844789429,231.8312819847313,63
0,0,97,23.11840046974689,63.08995637712516,51
0,0,98,39.53435787974058,345.4156230674374,60
0,0,99,25.97609643056835,90.03494612348075,56
0,0,100,25.14320908407839,70.67764564593698,55
