# mesh name: boxMesh_1
# primitive scorer name: doseScorer
# iX, iY, iZ, total(value) [MeV], total(val^2), entry
0,0,0,5707336.868631702,6517468.532077508,10000000
0,0,1,5772656.615096319,7035630.826463839,9998514
0,0,2,5808461.647758672,7164513.46179411,9995618
0,0,3,5836683.086485438,7220664.156688522,9991870
0,0,4,5865921.377497235,7490634.140087563,9987461
0,0,5,5888217.443056189,7518142.675327448,9982524
0,0,6,5911188.868212399,7503738.405505523,9977069
0,0,7,5933571.839077086,7553624.009941261,9971257
0,0,8,5962884.557640694,7906859.157335654,9964975
0,0,9,5979393.89681615,7762772.772898687,9958231
0,0,10,6000431.633121605,7924226.096954663,9951103
0,0,11,6016784.24982735,7883368.781802355,9943602
0,0,12,6033711.382294035,7851492.297293632,9935684
0,0,13,6052499.430578473,7999687.596731943,9927480
0,0,14,6069735.733886357,7972467.497860543,9918787
0,0,15,6089444.913729801,8192639.278963555,9909990
0,0,16,6103535.230011185,8074286.458968836,9900874
0,0,17,6116608.211370463,7974854.258720004,9891486
0,0,18,6134061.581307009,8100777.874921802,9881775
0,0,19,6149445.884362827,8120709.296970532,9872012
0,0,20,6164696.890108506,8135969.130206691,9861990
0,0,21,6179878.808756836,8163009.65438276,9851477
0,0,22,6191703.078513004,8089133.167482389,9840557
0,0,23,6209526.263503375,8233404.547790065,9829563
0,0,24,6225647.922467513,8261271.950410379,9818228
0,0,25,6238342.077531699,8228912.304145196,9806759
0,0,26,6256549.247155871,8339267.472195633,9795087
0,0,27,6267543.285751567,8282152.59165742,9783041
0,0,28,6280025.331915889,8243544.632433903,9770896
0,0,29,6297709.106658207,8366862.880035344,9758445
0,0,30,6308341.419923293,8283519.342729486,9745818
0,0,31,6325000.638911104,8300562.475097517,9733123
0,0,32,6341510.88527167,8408799.90669585,9720045
0,0,33,6359307.311668409,8667212.302327782,9706893
0,0,34,6366564.140981394,8410310.336460246,9693552
0,0,35,6384397.019541673,8484738.955995895,9679912
0,0,36,6396071.149865419,8480151.697612444,9666023
0,0,37,6412490.853499752,8545011.92858962,9651923
0,0,38,6425883.377230674,8517025.997972699,9637656
0,0,39,6442617.003199777,8654695.99125715,9623103
0,0,40,6453272.009038193,8510669.976988237,9608496
0,0,41,6468923.55856606,8592503.191744199,9593529
0,0,42,6486813.961717797,8649234.018362608,9578862
0,0,43,6501668.815869428,8657920.87904549,9563715
0,0,44,6514739.781433121,8572814.326868972,9548535
0,0,45,6528007.308644088,8504327.736639317,9532885
0,0,46,6546309.071863564,8648388.452762008,9517328
0,0,47,6566698.529190117,8705886.304739835,9501740
0,0,48,6584507.022087089,8809131.299137352,9485684
0,0,49,6599816.263392331,8799441.922087742,9469692
0,0,50,6617086.820763966,8832251.404528931,9453328
0,0,51,6632487.824920828,8812902.54270431,9436890
0,0,52,6648649.897252994,8824178.912908062,9420208
0,0,53,6665012.236528625,8877162.626166616,9403301
